"0107","003.1     ","PIS SOBRE VENDAS             ","TF ","00120369 ","0","IMPOSTOS FEDERAIS   ","20140925","20140925","169"
"0107","007.1.01  ","SALARIOS                     ","RC ","11/2014  ","1","RENATO SANTOS       ","20141128","20141128","2765,65"
"0107","007.1.01  ","SALARIOS                     ","RC ","12/2014  "," ","RENATO SANTOS       ","20141231","20141231","1359,12"
"0202","007.1.01  ","SALARIOS                     ","BOL","022014   ","1","RNATO SANTOS        ","20140303","20140303","1350"
"0202","007.1.01  ","SALARIOS                     ","BOL","75192870 ","1","RNATO SANTOS        ","20140430","20140430","1350"
"0107","007.1.01  ","SALARIOS                     ","BOL","05/14    ","1","RNATO SANTOS        ","20140602","20140603","1121,82"
"0202","007.1.01  ","SALARIOS                     ","BOL","022014   ","1","ROZANA              ","20140303","20140303","1043,58"
"0202","007.1.01  ","SALARIOS                     ","BOL","04/2014  ","1","ROZANA              ","20140430","20140430","1077,53"
"0202","007.1.01  ","SALARIOS                     ","RC ","05/2014  ","0","ROZANA              ","20140602","20140602","936,67"
"0202","007.1.02  ","INSS                         ","BOL","022014   ","1","INSS                ","20140320","20140320","1266,64"
"0202","007.1.02  ","INSS                         ","INS","003794725","0","INSS                ","20140520","20140529","1152,82"
"0107","007.1.02  ","INSS                         ","INS","062014   "," ","INSS                ","20140702","20140710","448,71"
"0202","007.1.02  ","INSS                         ","INS","062014   "," ","INSS                ","20140704","20140710","1170,12"
"0107","007.1.02  ","INSS                         ","INS","072014   ","1","INSS                ","20140820","20140820","448,71"
"0107","007.1.02  ","INSS                         ","INS","082014   ","1","INSS                ","20140919","20140919","448,71"
"0107","007.1.02  ","INSS                         ","INS","09/2014  "," ","INSS                ","20141020","20141020","448,71"
"0202","007.1.02  ","INSS                         ","INS","09/2014  "," ","INSS                ","20141020","20141020","1137,72"
"0202","007.1.02  ","INSS                         ","INS","10/2014  "," ","INSS                ","20141105","20141105","1240,86"
"0107","007.1.02  ","INSS                         ","INS","10/2014  "," ","INSS                ","20141119","20141119","448,71"
"0202","007.1.02  ","INSS                         ","INS","13/2014  "," ","INSS                ","20141208","20141208","885,74"
"0107","007.1.02  ","INSS                         ","INS","11/2014  "," ","INSS                ","20141219","20141219","1221,48"
"0107","007.1.02  ","INSS                         ","INS","13/2014  "," ","INSS                ","20141219","20141219","409,08"
"0107","007.1.02  ","INSS                         ","INS","00898789 ","0","LOJAS JATOBA        ","20140620","20140620","448,71"
"0202","007.1.02  ","INSS                         ","INS","6050703  ","0","LOJAS JATOBA        ","20140620","20140620","1182,86"
"0202","007.1.02  ","INSS                         ","INS","08/2014  "," ","LOJAS JATOBA        ","20140905","20140905","1128,81"
"0202","007.1.02  ","INSS                         ","BOL","032014   ","1","MINISTERIO DA FAZEND","20140417","20140417","1425,39"
"0202","007.1.03  ","FGTS                         ","BOL","022014   ","1","FGTS - ENCARGOS TRAB","20140307","20140307","946,48"
"0202","007.1.03  ","FGTS                         ","BOL","032014   ","1","FGTS - ENCARGOS TRAB","20140409","20140409","868,8"
"0202","007.1.03  ","FGTS                         ","BOL","0738653  ","0","FGTS - ENCARGOS TRAB","20140507","20140507","893,97"
"0202","007.1.03  ","FGTS                         ","1  ","052014-1 ","0","FGTS - ENCARGOS TRAB","20140609","20140606","896,35"
"0107","007.1.03  ","FGTS                         ","1  ","052014-1 ","0","FGTS - ENCARGOS TRAB","20140609","20140606","97,54"
"0107","007.1.03  ","FGTS                         ","1  ","062014   "," ","FGTS - ENCARGOS TRAB","20140707","20140710","97,54"
"0202","007.1.03  ","FGTS                         ","1  ","0937575  "," ","FGTS - ENCARGOS TRAB","20140707","20140710","968,31"
"0107","007.1.03  ","FGTS                         ","1  ","017980-9 "," ","FGTS - ENCARGOS TRAB","20140807","20140807","97,54"
"0202","007.1.03  ","FGTS                         ","1  ","5376677  "," ","FGTS - ENCARGOS TRAB","20141103","20141103","699,01"
"0202","007.1.03  ","FGTS                         ","1  ","10/2014  "," ","FGTS - ENCARGOS TRAB","20141107","20141107","1053,89"
"0107","007.1.03  ","FGTS                         ","1  ","10/2014  "," ","FGTS - ENCARGOS TRAB","20141107","20141107","97,54"
"0107","007.1.03  ","FGTS                         ","1  ","11/2014  "," ","FGTS - ENCARGOS TRAB","20141205","20141205","293,67"
"0202","007.1.03  ","FGTS                         ","1  ","0237466  "," ","I LOURENCO TKATCH   ","20141007","20141007","1080,97"
"0202","007.1.03  ","FGTS                         ","1  ","017980-9 "," ","LOJAS JATOBA        ","20140807","20140807","710,28"
"0202","007.1.03  ","FGTS                         ","1  ","08/2014  "," ","LOJAS JATOBA        ","20140907","20140905","1021,45"
"0107","007.1.03  ","FGTS                         ","1  ","0179809  "," ","LOJAS JATOBA        ","20140907","20140907","97,54"
"0107","007.1.03  ","FGTS                         ","1  ","09/2014  "," ","LOJAS JATOBA        ","20141007","20141007","97,54"
"0202","007.1.04  ","IRRF SOBRE SALARIOS          ","BOL","280214   ","1","MINISTERIO DA FAZEND","20140320","20140320","308,11"
"0202","007.1.05  ","EXAME ADMISSIONAL/DEMISSIONAL","BOL","250314   ","1","LUCIANO             ","20140325","20140325","50"
"0202","007.1.05  ","EXAME ADMISSIONAL/DEMISSIONAL","RC ","65613388 ","0","LUCILEIA            ","20140616","20140616","80"
"0202","007.1.05  ","EXAME ADMISSIONAL/DEMISSIONAL","RC ","002391   "," ","METRA  MED          ","20141111","20141111","50"
"0107","007.1.05  ","EXAME ADMISSIONAL/DEMISSIONAL","BOL","050514   ","1","RNATO SANTOS        ","20140509","20140509","145"
"0202","007.1.05  ","EXAME ADMISSIONAL/DEMISSIONAL","RC ","42548582 ","0","ROZANA              ","20140612","20140612","50"
"0107","007.1.05  ","EXAME ADMISSIONAL/DEMISSIONAL","NF ","029      "," ","SISTEMA TREINAMENTO ","20140710","20140710","85"
"0107","007.1.06  ","PROLABORE                     ","DH ","00126538 "," ","LOJAS JATOBA        ","20141020","20141020","5000"
"0107","007.1.06  ","PROLABORE                     ","TF ","160714   ","1","OSVALDO             ","20140716","20140716","5000"
"0107","007.1.06  ","PROLABORE                     ","TF ","180814   ","1","OSVALDO             ","20140818","20140818","5000"
"0107","007.1.06  ","PROLABORE                     ","TF ","170914   ","1","OSVALDO             ","20140919","20140919","5000"
"0107","007.1.06  ","PROLABORE                     ","TF ","161214   ","1","OSVALDO             ","20141216","20141216","5000"
"0202","007.1.07  ","COMISSOES SOBRE VENDAS       ","BOL","43958291 ","1","LUCIANO             ","20140430","20140430","400"
"0202","007.1.09  ","FERIAS                       ","FER","11/2014  ","2","JOSE HELIO          ","20141128","20141128","2007,63"
"0202","007.1.09  ","FERIAS                       ","DH ","514120   "," ","LOJAS JATOBA        ","20140804","20140804","1539,13"
"0202","007.1.09  ","FERIAS                       ","DH ","514120/01"," ","LOJAS JATOBA        ","20140804","20140804","33,6"
"0202","007.1.09  ","FERIAS                       ","FER","414105   "," ","NILSON BALBINO      ","20140929","20141008","1502,16"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","13/2014  ","2","DENILSON COSTA DA SI","20141219","20141219","166,52"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","11/2014  ","0","JOSE HELIO          ","20141201","20141128","931,97"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","132","13/2014  ","2","JOSE HELIO          ","20141208","20141208","678,88"
"0107","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","11/2014  ","0","LUCIANO             ","20141128","20141128","62,5"
"0107","007.1.10  ","DECIMO TERCEIRO SALARIO       ","132","13/2014  ","2","LUCIANO             ","20141219","20141229","167,5"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","11/2014  ","0","LUCILEIA            ","20141128","20141128","185,6"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","13/2014  "," ","LUCILEIA            ","20141219","20141219","214,9"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","11/2014  ","0","MANOEL RODRIGUES    ","20141128","20141128","575,58"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","13/2014  ","2","MANOEL RODRIGUES    ","20141219","20141219","460,47"
"0202","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","13/2014  "," ","NILSON BALBINO      ","20141219","20141219","495,96"
"0107","007.1.10  ","DECIMO TERCEIRO SALARIO       ","RC ","11/2014  ","0","RENATO SANTOS       ","20141128","20141128","376,98"
"0107","007.1.10  ","DECIMO TERCEIRO SALARIO       ","132","13/2014  ","2","RENATO SANTOS       ","20141219","20141219","415,77"
"0202","007.1.12  ","SINDICATO                    ","BOL","201402   ","1","SINDICATO           ","20140310","20140310","166,57"
"0202","007.1.12  ","SINDICATO                    ","BOL","48296    ","1","SINDICATO           ","20140310","20140310","115,89"
"0202","007.1.12  ","SINDICATO                    ","BOL","CC201403 ","0","SINDICATO           ","20140410","20140410","160,88"
"0202","007.1.12  ","SINDICATO                    ","BOL","300414/1 ","0","SINDICATO           ","20140430","20140430","283,87"
"0202","007.1.12  ","SINDICATO                    ","BOL","62700    ","0","SINDICATO           ","20140512","20140509","114,23"
"0202","007.1.12  ","SINDICATO                    ","BOL","CC201405 ","0","SINDICATO           ","20140610","20140610","158,63"
"0202","007.1.12  ","SINDICATO                    ","BOL","201406   "," ","SINDICATO           ","20140710","20140711","163,1"
"0202","007.1.12  ","SINDICATO                    ","BOL","201408   ","0","SINDICATO           ","20140829","20140829","27,67"
"0202","007.1.12  ","SINDICATO                    ","FT ","CC201408 "," ","SINDICATO           ","20140910","20140910","153,9"
"0202","007.1.12  ","SINDICATO                    ","BOL","CC201409 "," ","SINDICATO           ","20141010","20141010","164,81"
"0202","007.1.12  ","SINDICATO                    ","BOL","10/2014  ","0","SINDICATO           ","20141110","20141110","108,78"
"0202","007.1.12  ","SINDICATO                    ","BOL","11/2014  "," ","SINDICATO           ","20141210","20141210","132,72"
"0202","007.1.12  ","SINDICATO                    ","BOL","12/2014  "," ","SINDICATO           ","20141222","20141222","124,13"
"0202","007.1.12  ","SINDICATO                    ","BOL","284201402","1","SINDICATO DOS MOTORI","20140310","20140310","10"
"0202","007.1.12  ","SINDICATO                    ","BOL","62249    ","0","SINDICATO DOS MOTORI","20140512","20140509","10"
"0202","007.1.12  ","SINDICATO                    ","BOL"," 28420140","0","SINDICATO DOS MOTORI","20140610","20140610","10"
"0202","007.1.12  ","SINDICATO                    ","FT ","284201406"," ","SINDICATO DOS MOTORI","20140710","20140710","10"
"0202","007.1.12  ","SINDICATO                    ","BOL","284201407"," ","SINDICATO DOS MOTORI","20140809","20140812","10"
"0202","007.1.12  ","SINDICATO                    ","FT ","4201408  "," ","SINDICATO DOS MOTORI","20140910","20140910","10"
"0107","007.1.12  ","SINDICATO                    ","BOL","692201410"," ","SINDICATO DOS MOTORI","20141112","20141112","25"
"0202","007.1.12  ","SINDICATO                    ","BOL","48530    ","0","SINDICOM            ","20140410","20140410","100,5"
"0202","007.1.12  ","SINDICATO                    ","BOL","60763    ","0","SINDICOM            ","20140512","20140509","30"
"0202","007.1.12  ","SINDICATO                    ","BOL","049113   ","0","SINDICOM            ","20140610","20140610","30"
"0202","007.1.12  ","SINDICATO                    ","FT ","49468    "," ","SINDICOM            ","20140811","20140811","30"
"0202","007.1.12  ","SINDICATO                    ","FT ","CC201407 "," ","SINDICOM            ","20140811","20140808","131,69"
"0202","007.1.12  ","SINDICATO                    ","FT ","CA201407 "," ","SINDICOM            ","20140820","20140808","91,86"
"0202","007.1.12  ","SINDICATO                    ","FT ","49703    "," ","SINDICOM            ","20140910","20140910","30"
"0202","007.1.12  ","SINDICATO                    ","BOL","49939    "," ","SINDICOM            ","20141010","20141010","30"
"0202","007.1.12  ","SINDICATO                    ","BOL","10/2014  "," ","SINDICOM            ","20141110","20141110","30"
"0202","007.1.12  ","SINDICATO                    ","BOL","11/2014  "," ","SINDICOM            ","20141210","20141210","119,18"
"0202","007.1.13  ","IDENIZACOES TRABALHISTAS     ","RES","410853   "," ","ALEXANDRE FERNANDES ","20141031","20141031","2529,54"
"0202","007.1.14  ","GRATIFICACOES                ","BOL","022014   ","1","ALEXANDRE FERNANDES ","20140303","20140303","825,35"
"0202","007.1.14  ","GRATIFICACOES                ","BOL","22014    ","1","ALEXANDRE FERNANDES ","20140303","20140303","260,65"
"0202","007.1.14  ","GRATIFICACOES                ","DH ","73087347 "," ","CELITO TKATCH       ","20140804","20140804","1086"
"0202","007.1.14  ","GRATIFICACOES                ","DH ","2239559  "," ","DENILSON COSTA DA SI","20141104","20141104","217"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","33428835 "," ","DENILSON COSTA DA SI","20141201","20141130","419,92"
"0202","007.1.14  ","GRATIFICACOES                ","DH ","524015412"," ","DENILSSON COSTA     ","20141020","20141020","90"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","75764165 "," ","JOSE HELIO          ","20141231","20141231","309"
"0202","007.1.14  ","GRATIFICACOES                ","DH ","66934662 "," ","LOJAS JATOBA        ","20140801","20140812","2101,34"
"0202","007.1.14  ","GRATIFICACOES                ","BOL","022014   ","1","LUCIANO             ","20140303","20140303","400"
"0202","007.1.14  ","GRATIFICACOES                ","BOL","73249567 ","1","LUCIANO             ","20140401","20140401","400"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","76136482 ","0","LUCIANO             ","20140602","20140602","1784,65"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","71439508 "," ","LUCIANO             ","20140703","20140710","1942,58"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","35299869 "," ","LUCIANO             ","20140901","20140901","2046,97"
"0202","007.1.14  ","GRATIFICACOES                ","DH ","74140172 "," ","LUCIANO             ","20140926","20140926","600"
"0202","007.1.14  ","GRATIFICACOES                ","DH ","39197888 "," ","LUCIANO             ","20141004","20141004","2046,49"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","2265911  "," ","LUCIANO             ","20141031","20141031","1920,8"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","33412379 "," ","LUCIANO             ","20141204","20141204","4000"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","39187173 "," ","LUCIANO             ","20141209","20141209","721,82"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","76161791 "," ","LUCIANO             ","20141231","20141231","775"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","43233921 "," ","LUCILEIA            ","20141231","20141231","400"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","39330348 "," ","RENATO SANTOS       ","20141209","20141209","58,45"
"0202","007.1.14  ","GRATIFICACOES                ","RC ","33962094 "," ","RENATO SANTOS       ","20141231","20141231","150"
"0202","007.1.15  ","VALE TRANSPORTE              ","DH ","74610694 "," ","LUCILEIA            ","20141020","20141020","40"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","7463     ","1","A L SILVA COMERCIO  ","20140224","20140224","190"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","240314   ","1","AGRINAZI            ","20140324","20140324","15"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","023909   ","1","CASA SAO JOAO       ","20140523","20140523","10"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","260214   ","1","DESPACHANTE MARABA  ","20140226","20140226","173"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","130314   ","1","ENCADERNACOES BOTELH","20140313","20140313","50"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","14032014 ","1","ENCADERNACOES BOTELH","20140314","20140314","35"
"0107","007.2     ","DESPESAS GERAIS               ","BOL","360601   ","3","LEOLAR MAGAZINE     ","20140328","20140328","462,25"
"0202","007.2     ","DESPESAS GERAIS               ","CC ","MIHITN G3"," ","LOJAS JATOBA        ","20140708","20140710","297,47"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","306      ","1","LUX MATERIAL ELETRIC","20140227","20140227","8"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","150514   ","1","LUX MATERIAL ELETRIC","20140515","20140515","10"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","31773    ","1","MATEL               ","20140328","20140328","14"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","03042014 ","1","MEGA EMBALAGENS     ","20140403","20140403","93,25"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","031064   ","1","N C F COM DE EMB. E ","20140523","20140523","12,5"
"0202","007.2     ","DESPESAS GERAIS               ","DH ","666025   "," ","PURIFIC             ","20140717","20140717","60"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","43341072 ","1","RAIMUNDO ARAGAO     ","20140317","20140315","250"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","67612810 ","1","ROBERTO LEAL        ","20140219","20140219","90"
"0202","007.2     ","DESPESAS GERAIS               ","BOL","76263    ","1","VIP MATERIAIS       ","20140228","20140228","31"
"0202","007.2     ","DESPESAS GERAIS               ","DH ","0819667  "," ","Y. YAMADA           ","20140916","20140916","6,99"
"0202","007.2.01  ","AGUA                         ","BOL","032014   ","1","COSANPA             ","20140407","20140407","41,8"
"0107","007.2.01  ","AGUA                         ","BOL","04/2014  ","1","COSANPA             ","20140507","20140507","41,8"
"0202","007.2.01  ","AGUA                         ","FT ","05/2014  ","0","COSANPA             ","20140607","20140607","41,8"
"0107","007.2.01  ","AGUA                         ","FT ","062014   "," ","COSANPA             ","20140707","20140710","41,8"
"0107","007.2.01  ","AGUA                         ","FT ","6730377  "," ","COSANPA             ","20140707","20140807","41,8"
